spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,cluster
2plbrEY59IikOBgBGLjaoe,DIE WITH A SMILE,"Lady Gaga, Bruno Mars",1,0,0,MY,2025-01-08,100,False,0.9245693717097373,Die With A Smile,2024-08-16,-0.5341735163024767,0.007958888152239345,0.22043263323823203,-0.3031515085891159,-1.3622980055244358,-0.534347003217907,-0.12812563580293138,-0.1789858187802819,-0.3971259972148919,0.19271900405376488,1.2512467239725356,3,1
3be9ACTxtcL6Zm4vJRUiPG,BLUE,yung kai,2,1,1,MY,2025-01-08,87,False,0.0853174770692787,blue,2024-08-02,1.040919544604304,-1.6097050770411685,-0.3297811048445989,-1.9291042693400247,0.7340537796757883,-0.4514857630077795,1.9509159218195056,0.01707641904814434,-0.40610645398985573,0.3970507552011286,-0.9083883334918726,3,2
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",3,-1,-1,MY,2025-01-08,89,False,-0.9143167817841649,rosie,2024-12-06,1.2579323663292385,1.1315000421592978,-1.4302085810102607,0.9728637376601111,-1.3622980055244358,4.472216352636107,-1.0585383136701243,-0.1789858187802819,1.6953204313516848,1.8437195533244657,0.9319382584911825,4,3
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,4,0,0,MY,2025-01-08,97,False,-0.004298699512002123,HIT ME HARD AND SOFT,2024-05-17,1.0479199582083343,-0.4920463374529957,-0.8799948429274298,-1.2288425690499185,0.7340537796757883,-0.4165968197614101,-0.4873840169600884,0.46190579734704695,-0.44202828108971104,-0.2036845931721214,-0.6410005243301224,4,0
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,5,2,3,MY,2025-01-08,92,False,1.144988275906517,HIT ME HARD AND SOFT,2024-05-17,-0.912195850920104,-2.021474086363127,0.22043263323823203,-1.936837695074869,-1.3622980055244358,-0.2574160161998495,0.8831201778246218,-0.1761292130570828,0.03393592798337298,-1.4787147203316728,0.898871870766319,4,2
26KhLgFuPymkm1uiZkc6Rv,BUNGA MAAF,The Lantis,7,-1,2,MY,2025-01-08,77,False,0.9399102935040228,Bunga Maaf,2024-11-15,-0.9051954373160739,-0.3861628779130634,1.0457532403624783,-0.156989762200568,0.7340537796757883,-0.5801387412287669,1.4719047469432962,0.07821410611292245,-0.719524395436094,-0.7839867664306353,1.2577100243809598,4,2
6twyTAZjH3ap9GFkGukraz,RAHSIA TUHAN,Noh Salleh,8,0,-2,MY,2025-01-08,66,False,1.7209476637990109,Rahsia Tuhan,2024-09-06,-1.4022248032022135,0.037370960246664975,1.5959669784453092,-0.2412841027103654,0.7340537796757883,-0.5975832128519515,-0.6104632771713366,9.26573273467509,1.7222618016765763,-0.8248531166601081,0.6053451892345901,4,1
1z5ebC9238uGoBgzYyvGpQ,TOXIC TILL THE END,ROSÉ,9,0,-4,MY,2025-01-08,88,False,-1.2119576574175754,rosie,2024-12-06,-1.2902181855377317,0.07854786117886085,0.4955395022796475,0.5278050866198505,0.7340537796757883,0.9811414690462656,-0.9870192840879124,-0.1789858187802819,-0.4689696514146026,-0.7839867664306353,1.5820177277472809,4,1
1hlHeIZ36Idpr57xPI8OCD,GARAM & MADU (SAKIT DADAKU),"Tenxi, Jemsii, Naykilla",10,1,40,MY,2025-01-08,64,False,-0.5903354084658448,Garam & Madu (Sakit Dadaku),2025-01-03,2.2239894436853977,1.0903231412271017,-0.6048879738860143,0.7246207715716254,-1.3622980055244358,-0.10695744844988123,0.024891822838079926,-0.17269285340482113,0.3572323718820713,-0.11377862266728117,0.07285493680136093,4,3
2CGNAOSuO1MEFCbBRgUzjd,LUTHER (WITH SZA),"Kendrick Lamar, SZA",11,3,1,MY,2025-01-08,86,False,-0.7415402124265299,GNX,2024-11-21,0.7679034140471285,-0.0920421569688078,-0.8799948429274298,-0.21383044135167004,0.7340537796757883,1.5284617662236861,-0.3177342258580976,-0.1789858187802819,0.734411556430553,0.3602710399946031,0.5384625281021175,4,0
1lcBt7LoEikqYmhUoa2cez,NUMBER ONE GIRL,ROSÉ,12,-2,1,MY,2025-01-08,82,False,0.13221750924095804,rosie,2024-12-06,-2.1652698860414987,-1.2567602119080614,0.4955395022796475,-0.30237816601563156,0.7340537796757883,-0.5059997368302318,-0.19465496564684942,-0.1789858187802819,-0.5857155894891326,-1.4419350051251472,1.8747588147542293,3,2
6gjkHuMOR0CrN7Vb2NoEdg,ANUGERAH TERINDAH,Andmesh,13,0,11,MY,2025-01-08,75,False,1.6113792912770684,Cinta & Doa,2023-09-22,-0.07914663204051808,-1.4802919598256958,-1.4302085810102607,-0.3487787204246941,0.7340537796757883,-0.608486007616442,1.3554784197164396,-0.1789858187802819,-0.6351081017514338,-1.131350743381154,-0.4646702623588721,4,2
0TRKtVvsVmOkXCvnq5AgNE,REMINISENSI,Insomniacks,15,0,-1,MY,2025-01-08,65,False,1.233614715597844,Kepala Batu EP,2020-07-24,-0.9331970917321945,0.060900617922205476,1.3208601094038939,-0.019334784120348402,0.7340537796757883,-0.6390138329570152,-0.8815702962853024,-0.1789858187802819,-0.5497937623892774,-0.9024991820961062,-1.604853588552072,4,1
